Time,1,2,3,4,5,6,7,8,9,10,Temp,Amplitude(mm)
07/13_11:34:51,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:51,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:52,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:52,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:53,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:53,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:54,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:54,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:55,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:55,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:56,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:56,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:57,0,0,0,0,0,0,0,0,0,0,26.5,0.003264
07/13_11:34:57,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:58,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:58,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:59,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:59,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:00,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:00,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:01,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:01,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:02,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:35:02,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:03,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:03,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:35:04,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:04,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:05,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:05,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:06,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:06,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:07,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:07,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:08,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:08,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:09,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:09,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:10,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:10,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:11,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
